Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
"Arranjo Urbanístico da Envolvente ao Novo Centro de Saúde - Rua dos Restauradores do Concelho e Rua ""B"" e Arranjo Urbanístico do Sítio da Serventia";Concurso público;Empreitadas de obras públicas;"45233120-6, Construção de estradas<BR/>45232400-6, Obras de construção de esgotos";Município do Cadaval (505763621);"Topbet-Trabalhos de Obras Públicas e Pavimentos Betuminosoa, S.A (503847933)";"115.533,40 €";31-05-2019;17-05-2019;120 dias;"Portugal, Lisboa, Cadaval";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
EQUIPAMENTO RX PORTATIL DIGITAL  ;Concurso público;Aquisição de bens móveis;"33111000-1, Aparelhos para radiologia";"Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E. (506361438)";SIEMENS (507925173);"96.000,00 €";31-05-2019;15-10-2018;90 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";31-12-2018;"96.000,00 €";;;;Não aplicável.;Não aplicável.;false
Empreitada de Reposição de Pavimentos em Redes de Abastecimento e Saneamento;Concurso público;Empreitadas de obras públicas;"45233220-7, Pavimentação de estradas";"AR - Águas do Ribatejo, E. I. M., S. A. (508345464)";"Henrique Carlota, Lda (501716165)";"171.000,00 €";31-05-2019;27-05-2019;730 dias;"Portugal, Santarém, Chamusca<BR/>Portugal, Santarém, Almeirim<BR/>Portugal, Santarém, Alpiarça<BR/>Portugal, Santarém, Salvaterra de Magos";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Serviços para Prestação Integrada de serviços de cobrança de portagens no IP4 (A4) - Nó de Campeã;Concurso público;Aquisição de serviços;"79941000-2, Serviços de cobrança de portagens";"Infraestruturas de Portugal, S. A. (503933813)";Ascendi (508677688);"337.500,00 €";31-05-2019;30-05-2019;268 dias;"Portugal, Vila Real, Vila Real<BR/>Portugal, Porto, Amarante";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Empreitada de Ampliação do Lar de Ferrel;Concurso público;Empreitadas de obras públicas;"45215212-6, Construção de lar para idosos";Associação de Solidariedade Social de Ferrel (504567802);"Sousa Madeira & Irmãos, Lda. (505107155)";"325.009,63 €";30-05-2019;08-05-2019;365 dias;"Portugal, Leiria, Peniche";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação de Serviços na Área de Seguros - Contratação de Cobertura de Riscos inerentes à Carteira de Seguros do Município de Estarreja;Concurso público;Aquisição de serviços;"66510000-8, Serviços de seguros";Município de Estarreja (501190082);"Fidelidade – Companhia de Seguros, S.A. (500918880)";"40.498,68 €";30-05-2019;17-05-2019;1095 dias;"Portugal, Aveiro, Estarreja";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Empreitada de Reabilitação Energética das EB1 de Cacém 1, Pendão e Várzea de Sintra, nos termos estabelecidos no caderno de encargos - elementos da solução da obra e proposta adjudicada";Concurso público;Empreitadas de obras públicas;"45421110-8, Instalação de caixilharia de portas e janelas";Município de Sintra (500051062);"SUNEVER - ENGENHARIA, LDA. (509754503)";"279.887,11 €";30-05-2019;15-05-2019;150 dias;"Portugal, Lisboa, Sintra";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de serviços de mailing, handling, logística, acondicionamento, preenchimento de guias de encomenda e expedição, fornecimento de caixas de cartão, encarte em brochuras para a formação, transporte para os locais de formação a nível nacional, impressão, personalização de folha de rosto e embalamento da Revista Contabilista";Concurso público;Aquisição de serviços;"79000000-4, Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança";Ordem dos Contabilistas Certificados (503692310);"Luter, Lda. (503794120)";"20.865,00 €";30-05-2019;11-07-2018;365 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviços de cedência de salas para o desenvolvimento de ações de Formação na Cidade de Portimão de várias Modalidades de Formação;Concurso público;Aquisição de serviços;"80520000-5, Instalações para formação";"Instituto do Emprego e Formação Profissional, IP (501442600)";"Cooperativa de Formação e Animação Cultural, DRL (501679529)";"29.137,50 €";30-05-2019;14-01-2019;352 dias;"Portugal, Faro";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
REABILITAÇÃO URBANA - ESPAÇO PÚBLICO- ÁREA 7;Concurso público;Empreitadas de obras públicas;"45233140-2, Obras em estradas";Municipio de Caldas da Rainha (501222634);"MANUEL GOMES DE ALMEIDA & FILHO, LDA. (501379754)";"596.962,94 €";30-05-2019;24-05-2019;300 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de reagentes para o Laboratório de Patologia Clínica - Microbiologia (Vírus respiratórios por fluorimetria);Concurso público;Aquisição de bens móveis;"33696200-7, Reagentes para análises ao sangue";"Hospital da Senhora da Oliveira Guimarães, E. P. E. (508080827)";"IBERLAB & IMUNOREAGE, LDA. (503406694)";"97.891,20 €";30-05-2019;09-05-2019;1095 dias;"Portugal, Braga, Guimarães";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Empreitada de Arranjos Exteriores das Escolas de Francos, Eduardo Luna de Carvalho, Serra das Minas 2, Várzea de Sintra e JI Padre Agostinho da Mota, nos termos estabelecidos no caderno de encargos - elementos da solução da obra e proposta adjudicada";Concurso público;Empreitadas de obras públicas;"45236290-9, Reparação de zonas de recreio";Município de Sintra (500051062);"BRICANTEL - COMÉRCIO DE MATERIAL ELÉCTRICO DE BRAGANÇA, LDA. (502888539)";"246.490,00 €";30-05-2019;15-05-2019;120 dias;"Portugal, Lisboa, Sintra";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
REABILITAÇÃO URBANA - ESPAÇO PÚBLICO- ÁREA 7;Concurso público;Empreitadas de obras públicas;"45233252-0, Pavimentação de ruas";Municipio de Caldas da Rainha (501222634);"Manuel Pedro de Sousa & Filhos, Lda. (503665410)";"447.459,27 €";30-05-2019;21-05-2019;300 dias;"Portugal, Leiria, Caldas da Rainha";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP 26-2019 - aquisição de reagentes para diagnóstico molecular de infeções sexualmente transmissíveis;Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Instituto Nacional de Saúde Doutor Ricardo Jorge, IP (501427511)";"WERFEN PORTUGAL, LDA. (501086110)";"89.111,25 €";30-05-2019;22-05-2019;260 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Zona de Operação e Manutenção (ZOM4) das infra-estruturas de abastecimento de água e drenagem de águas residuais dos Serviços Municipalizados de Castelo Branco;Concurso público;Empreitadas de obras públicas;"45231300-8, Construção de condutas para água e águas residuais";Serviços Municipalizados de Castelo Branco (680017640);João de Almeida Barata (147752892);"108.967,15 €";30-05-2019;24-04-2019;365 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP 26-2019 - aquisição de reagentes para diagnóstico molecular de infeções sexualmente transmissíveis;Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Instituto Nacional de Saúde Doutor Ricardo Jorge, IP (501427511)";ROCHE SISTEMA DE DIAGNOSTICOS (504282921);"121.873,68 €";30-05-2019;22-05-2019;260 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE PLATAFORMA DE ARMAZENAMENTO LOCAL E CAPACIDADE DE EXPANSÃO PARA CLOUD;Concurso público;Aquisição de bens móveis;"48000000-8, Pacotes de software e sistemas de informação";Direção Regional da Educação (600087050);"Informática El Corte Inglés,SA (980079659)";"207.590,00 €";30-05-2019;29-05-2019;945 dias;"Portugal, Região Autónoma dos Açores";"Artigo 20.º, alínea b) do Decreto Legislativo Regional n.º 27/2015/A, de 29.12";;;;;;Não aplicável.;Não aplicável.;false
CONCURSO PÚBLICO PARA AQUISIÇÃO DE GÁS PROPANO A GRANEL PARA EQUIPAMENTOS MUNICIPAIS - FORNECIMENTO CONTINUO (Procº 15/DAP/2019)- MP/1243/CPN/B-2019;Concurso público;Aquisição de bens móveis;"09122100-1, Gás propano";Município de Paredes (506656128);"Petrogal, SA (500697370)";"150.000,00 €";30-05-2019;23-05-2019;1095 dias;"Portugal, Porto, Paredes";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CP 19-2019 - Aquisição de reagentes para os extratores automáticos de ácidos nucleicos para utilização pelos diversos Departamentos do Instituto Nacional de Saúde Doutor Ricardo Jorge, I.P.";Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Instituto Nacional de Saúde Doutor Ricardo Jorge, IP (501427511)";ROCHE SISTEMA DE DIAGNOSTICOS (504282921);"49.526,00 €";30-05-2019;21-05-2019;265 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CP 19-2019 - Aquisição de reagentes para os extratores automáticos de ácidos nucleicos para utilização pelos diversos Departamentos do Instituto Nacional de Saúde Doutor Ricardo Jorge, I.P.";Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Instituto Nacional de Saúde Doutor Ricardo Jorge, IP (501427511)";"WERFEN PORTUGAL, LDA. (501086110)";"13.865,68 €";30-05-2019;21-05-2019;265 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Empreitada nº 1/19 - EB1/JI Orlando Gonçalves - Execução de Obra;Concurso público;Empreitadas de obras públicas;"45453100-8, Obras de recuperação";Município da Amadora (505456010);OPTIBUILDING LDA (513799362);"233.430,92 €";30-05-2019;27-05-2019;90 dias;"Portugal, Lisboa, Amadora";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CP 10-18-Aquisição de Reagentes para o Laboratório de Urgência do CHCB, E.P.E.";Concurso público;Aquisição de bens móveis;"33696000-5, Reagentes e meios de contraste";"Centro Hospitalar Cova da Beira, EPE (506361659)";"ABBOTT LABORATÓRIOS, LDA. (500006148)";"349.683,00 €";30-05-2019;06-05-2019;570 dias;"Portugal, Castelo Branco, Covilhã<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação de Serviços de Consultadoria e Formação no âmbito da Candidatura n.º POISE-03-4231-FSE-001986;Concurso público;Aquisição de serviços;"80500000-9, Serviços de formação";Obra do Bem Estar Rural de Baião (500846421);AEDL (504806580);"65.800,00 €";30-05-2019;17-04-2019;532 dias;"Portugal, Porto, Baião";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP 16-19 - Aquisição de monitores de uso médico para Bloco Operatório;Concurso público;Aquisição de bens móveis;"33195100-4, Monitores";"Centro Hospitalar Cova da Beira, EPE (506361659)";"IBERDATA EQUIPAMENTOS, LDA (501904921)";"7.500,00 €";30-05-2019;17-04-2019;30 dias;"Portugal<BR/>Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"IC2, RAMO DO NÓ EM RIO MAIOR. REABILITAÇÃO DA ESCAVAÇÃO EM AREEIRO (E-contratos 5010038286)";Concurso público;Empreitadas de obras públicas;"45233142-6, Reparação de estradas";"Infraestruturas de Portugal, S. A. (503933813)";"Construções Pragosa, SA (502496878)";"319.885,62 €";30-05-2019;27-05-2019;120 dias;"Portugal, Santarém, Rio Maior";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"010400012019 - Guardanapos, papel higiénico e toalhas de mãos";Concurso público;Aquisição de bens móveis;"33763000-6, Toalhas de mão de papel<BR/>33761000-2, Papel higiénico<BR/>33764000-3, Guardanapos de papel";"Centro Hospitalar e Universitário de Coimbra, E. P. E. (510103448)";"CSH -Comércio Serviço Higiene; Lda (504346091), MEILEX, LDA (501759441), SERVISAN - PRODUTOS HIGIENE, SA (500246530), VISIPAPEL - PAPEL E CARTÃO, LDA (502020733)";"71.356,00 €";30-05-2019;15-02-2019;300 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PRC_0381/2017_EXP - Empreitadas Singulares de Redes de Drenagem de Águas Residuais - Fase 2 (Concelhos de Santo Tirso e Trofa);Concurso público;Empreitadas de obras públicas;"45232460-4, Obras de saneamento";"Águas do Norte, S. A. (513606084)";"Tamivia - Construções e Obras Publicas, S.a  (508681049)";"120.000,00 €";30-05-2019;24-05-2019;365 dias;"Portugal, Porto, Trofa<BR/>Portugal, Porto, Santo Tirso";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Construção do Arruamento de ligação da Feira Quinzenal até à Rua dos Bombeiros Voluntários, por Empreitada - CP-CCP-EMP n.º 02/2019";Concurso público;Empreitadas de obras públicas;"45233100-0, Construção de estradas e vias rápidas";Município de Cantanhede (506087000);"Lusosicó - Construções, S. A. (504870475)";"393.393,64 €";30-05-2019;30-05-2019;240 dias;"Portugal, Coimbra, Cantanhede";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Reparação e Beneficiação da E.N.226 - Trancoso - Lactovil;Concurso público;Empreitadas de obras públicas;"45233142-6, Reparação de estradas";Município de Trancoso (501143726);João Tomé Saraiva - Lda (506887260);"447.792,53 €";30-05-2019;29-05-2019;150 dias;"Portugal, Guarda, Trancoso";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
ARTIGOS ESPECIFICOS HEMODIALISE;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";"Fresenius Medical Care, SA (503070220)";"2.475,50 €";30-05-2019;10-05-2019;365 dias;"Portugal, Região Autónoma da Madeira, Funchal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PC 50182010 - Aq. Dispositivos Médicos para  Cirurgia Aberta e Laparoscópica;Concurso público;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Nordeste, EPE (509932584)";"MEDTRONIC PORTUGAL, LDA. (504223933)";"91.690,00 €";30-05-2019;01-01-2019;365 dias;"Portugal, Braganca, Bragança<BR/>Portugal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
ARTIGOS ESPECIFICOS HEMODIALISE;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";BAXTER MEDICO FARMACEUTICA LDA (503347345);"11.950,50 €";30-05-2019;09-05-2019;365 dias;"Portugal, Região Autónoma da Madeira, Funchal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
ARTIGOS ESPECIFICOS HEMODIALISE;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";"DOCWORLD, Lda (508592909)";"18.952,32 €";30-05-2019;10-05-2019;365 dias;"Portugal, Região Autónoma da Madeira, Funchal";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
REPARAÇÃO DAS REDES DE ABASTECIMENTO E DE DRENAGEM DE ÁGUA PREDIAL;Concurso público;Empreitadas de obras públicas;"45453000-7, Obras de revisão e recuperação";Câmara Municipal de Setúbal (501294104);"OMEP - OBRAS E PROJETOS, LDª (502022469)";"26.246,64 €";30-05-2019;28-05-2019;60 dias;"Portugal, Setúbal, Setúbal";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Acordo Quadro de Fornecimento de Combustíveis Rodoviários por Cartão Eletrónico;Concurso público;Aquisição de bens móveis<br/>Aquisição de serviços;"09100000-0, Combustíveis";"Municípia, Empresa de Cartografia e Sistemas de Informação, S. A. (504475606)";;"0,00 €";30-05-2019;30-07-2018;365 dias;"Portugal, Portugal Continental";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;3413725;Acordo Quadro de Fornecimento de Combustíveis Rodoviários por Cartão Eletrónico;false
A0/454/2019 Prestação de serviços médicos de cirurgia geral;Concurso público;Aquisição de serviços;"79625000-1, Serviços de fornecimento de pessoal médico";"Centro Hospitalar de Leiria, E. P. E. (509822932)";"Talenter 24 - Serviços Permanentes, Lda. (510359698)";"128.535,00 €";30-05-2019;18-04-2019;245 dias;"Portugal, Leiria, Leiria";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Locação de 543 computadores em outsourcing - Lote 3: Locação de 89 computadores portáteis, nos termos das condições estabelecidas no caderno de encargos, Anexo B - características técnicas, proposta adjudicada e repartido por famílias";Concurso público;Locação de bens móveis;"30213100-6, Computadores portáteis";Município de Sintra (500051062);"BASEDOIS - INFORMÁTICA E TELECOMUNICAÇÕES, LDA. (501333401)";"154.099,68 €";30-05-2019;27-05-2019;1491 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PC 50182010 - Aq. Dispositivos Médicos para  Cirurgia Aberta e Laparoscópica;Concurso público;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Nordeste, EPE (509932584)";ENDOTECNICA MATERIAL CIRURGICO (503818348);"19.452,00 €";30-05-2019;01-01-2019;365 dias;"Portugal<BR/>Portugal, Braganca, Bragança";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de vestuário para os eventos desportivos do Desporto Escolar;Concurso público;Aquisição de bens móveis;"18412000-0, Vestuário de desporto";Direção-Geral da Educação (600084809);"Your Promotion Unipessoal,Lda (508464714)";"35.521,92 €";30-05-2019;08-05-2019;90 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PC 50182010 - Aq. Dispositivos Médicos para  Cirurgia Aberta e Laparoscópica;Concurso público;Aquisição de bens móveis;"33100000-1, Equipamento médico";"Unidade Local de Saúde do Nordeste, EPE (509932584)";Johnson & Johnson (500153370);"20.640,00 €";30-05-2019;01-01-2019;365 dias;"Portugal<BR/>Portugal, Braganca, Bragança";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Locação de 543 computadores em outsourcing - Lote 2: Locação de 26 estações de trabalho, nos termos das condições estabelecidas no caderno de encargos, Anexo B - características técnicas e proposta adjudicada";Concurso público;Locação de bens móveis;"30214000-2, Estações de trabalho";Município de Sintra (500051062);"BASEDOIS - INFORMÁTICA E TELECOMUNICAÇÕES, LDA. (501333401)";"56.160,00 €";30-05-2019;27-05-2019;1461 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação de serviços de comunicações de voz em local fixo para todo o território  nacional (nacionais e internacionais) e serviços conexos;Concurso público;Aquisição de serviços;"64210000-1, Serviços telefónicos e de transmissão de dados";Comissão de Recrutamento e Seleção para a Administração Pública (600086941);"Vodafone Portugal - Comunicações Pessoais, S.A. (502544180)";"350,59 €";30-05-2019;08-04-2019;635 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
PC 51197002 - Manutenção Servidores Hospitais e Centros de Saúde da ULSNE;Concurso público;Aquisição de serviços;"50300000-8, Serviços de reparação e manutenção e serviços conexos relacionados com computadores pessoais e com equipamento burótico, audiovisual e para telecomunicações";"Unidade Local de Saúde do Nordeste, EPE (509932584)";"DECUNIFY, Soluções de Comunicação S.A. (504889893)";"36.300,00 €";30-05-2019;07-02-2019;334 dias;"Portugal<BR/>Portugal, Braganca, Bragança";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de Serviços de Manutenção e Assistência Técnica a Veículos Multimarca, dos Serviços Centrais e Serviços de Ação Social da Universidade de Lisboa";Concurso público;Aquisição de serviços;"50111000-6, Serviços de gestão, reparação e manutenção de frota de veículos";Universidade de Lisboa (510739024);Triunfadrenalina unipessoal Lda (513107878);"12.999,00 €";30-05-2019;09-05-2019;997 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PN/203/2019 Aquisição  Material de Consumo Clinico;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Instituto Português de Oncologia de Lisboa FG, E.P.E. (506361616)";MUC -MATERIAL DE UTILIDADE CLINICA LDA (502379308);"11.467,50 €";30-05-2019;15-02-2019;320 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviços de desenvolvimento e implementação de plataforma para o SIMGES: registo único de graus e diplomas do Ensino Superior;Concurso público;Aquisição de serviços;"72210000-0, Serviços de programação de pacotes de software";Direção-Geral do Ensino Superior (600061388);"CLARANET PORTUGAL, S.A. (503412031)";"97.530,00 €";30-05-2019;28-05-2019;583 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Locação de 543 computadores em outsourcing - Lote 1: Locação de 428 computadores base, nos termos das condições estabelecidas no caderno de encargos, Anexo B - características técnicas, proposta adjudicada e repartido em famílias";Concurso público;Locação de bens móveis;"30213300-8, Computadores de secretária (desktop computers)";Município de Sintra (500051062);"BASEDOIS - INFORMÁTICA E TELECOMUNICAÇÕES, LDA. (501333401)";"471.227,52 €";30-05-2019;27-05-2019;1491 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
MATERIAL TERAPÊUTICA DA DOR - RADIOFREQUÊNCIA;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";"EUROSINTESE-MAT.MED. HOSPIT.,L (503491403)";"82.640,00 €";30-05-2019;06-05-2019;239 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Empreitada de construção do último trainel de 3230m do CR nº113, do Landroal, freguesia da Prainha, Concelho de São Roque do Pico";Concurso público;Empreitadas de obras públicas;"45232451-8, Obras de drenagem e pavimentação";Direção Regional dos Recursos Florestais (600087123);"Pedro Serôdio Engenharia, S.A. (509608655)";"280.000,00 €";30-05-2019;28-05-2019;426 dias;"Portugal, Região Autónoma dos Açores, São Roque do Pico";"Artigo 19.º, alínea b) do Decreto Legislativo Regional n.º 27/2015/A, de 29.12";;;;;;Não aplicável.;Não aplicável.;false
PRC_0448/2018_GAE - AA0416 - Empreitada de Otimização do Funcionamento de Etapas de Tratamento na ETA do Rabaçal e instalação de variadores na EE de Possacos (Valpaços);Concurso público;Empreitadas de obras públicas;"45232430-5, Tratamento de águas";"Águas do Norte, S. A. (513606084)";"Linha D'Água - Engenharia e Técnicas de Proteção do Ambiente, Lda. (502337869)";"59.978,52 €";30-05-2019;29-05-2019;60 dias;"Portugal, Vila Real, Valpaços";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Requalificação do Troço Final da Estrada da Arroja - Odivelas;Concurso público;Empreitadas de obras públicas;"45233140-2, Obras em estradas";Município de Odivelas (504293125);"MANUEL GOMES DE ALMEIDA & FILHO, LDA. (501379754)";"356.148,08 €";30-05-2019;07-05-2019;120 dias;"Portugal, Lisboa, Odivelas";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CP 27-2019 - Aquisição de reagentes para diagnóstico molecular de agentes microbianos e virais em amostras de alimentos e outros para utilização no Instituto Nacional de Saúde Doutor Ricardo Jorge, I.P.";Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Instituto Nacional de Saúde Doutor Ricardo Jorge, IP (501427511)";BIOMERIEUX PORTUGAL (501524177);"89.686,90 €";30-05-2019;24-05-2019;210 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
APARELHO LASER CO2 DERMATOLOGIA;Concurso público;Aquisição de bens móveis;"33166000-1, Aparelhos para dermatologia";"Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E. (506361438)";Filsat - Equipamentos Médico-Cietificos (506708616);"25.000,00 €";30-05-2019;16-08-2018;93 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";16-11-2018;"25.000,00 €";;;;Não aplicável.;Não aplicável.;false
"CP 27-2019 - Aquisição de reagentes para diagnóstico molecular de agentes microbianos e virais em amostras de alimentos e outros para utilização no Instituto Nacional de Saúde Doutor Ricardo Jorge, I.P.";Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Instituto Nacional de Saúde Doutor Ricardo Jorge, IP (501427511)";Quilaban (500399670);"106.588,90 €";30-05-2019;22-05-2019;210 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de uma Maquina de Desinfeção de Equipamentos para a Unidade Funcional de Gastroenterologia do Hospital Dr. José Maria Grande da Unidade Local de Saúde do Norte Alentejano, EPE";Concurso público;Aquisição de bens móveis;"33191000-5, Aparelhos para esterilização, desinfecção e higiene";"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"ALVES & COMPANHIA (IRMÃOS), LDA (500310068)";"17.500,00 €";30-05-2019;02-05-2019;15 dias;"Portugal, Portalegre, Portalegre";Artigo 155.º do Código dos Contratos Públicos;;;;;;Não aplicável.;Não aplicável.;false
